ID,Unit Name,Occured_Time,Reset_Time,Message
7993,No Unit Name,2022/02/21-17:02:29:191,2022/02/21-17:02:48:809,(A.1F39)機台強制停止
7993,No Unit Name,2022/02/21-17:43:51:894,2022/02/21-17:44:37:458,(A.1F39)機台強制停止
7993,PLC,2022/02/22-10:00:32:801,2022/02/22-10:01:17:520,(A.1F39)機台強制停止
7993,No Unit Name,2022/02/22-10:55:20:222,2022/02/22-10:55:22:191,(A.1F39)機台強制停止
0,No Unit Name,2022/02/22-11:14:28:659,2022/02/22-11:15:01:544,Alarm ID Not Found
5710,No Unit Name,2022/02/22-11:38:10:819,2022/02/22-11:38:26:930,(W.164E)CV 01：手動入庫開始B101未ON Timeout
5729,PLC,2022/02/22-14:42:56:409,2022/02/22-14:43:02:863,(W.1661)CV 02：有料無帳
7993,PLC,2022/02/22-15:40:35:551,2022/02/22-15:40:55:940,(A.1F39)機台強制停止
5729,PLC,2022/02/22-16:41:30:472,2022/02/22-16:41:41:957,(W.1661)CV 02：有料無帳
5729,PLC,2022/02/22-16:41:45:784,2022/02/22-16:42:04:299,(W.1661)CV 02：有料無帳
5872,PLC,2022/02/22-16:42:24:315,2022/02/22-16:42:46:190,(W.16F0)CV 05：有帳無料
5680,PLC,2022/02/22-16:44:13:706,2022/02/22-16:44:14:144,(W.1630)CV 01：有帳無料
5777,PLC,2022/02/22-16:42:32:629,2022/02/22-16:54:28:553,(W.1691)CV 03：有料無帳
