使用者,任務ID,儲櫃ID,儲格ID,產品編號,靜電箱ID,Group No,Soteria,客戶編號,盤點結果
ASE,20220223165329855,C-005,011,,B000053,,,,OK
ASE,20220224111936696,TESTC-001,001,,B000011,,,,OK
ASE,20220224111936696,TESTC-001,002,,B000005,,,,OK
ASE,20220224111936696,TESTC-001,003,,B000043,,,,OK
ASE,20220224111936696,TESTC-001,004,,B000055,,,,OK
ASE,20220224111946816,TESTC-001,006,,B000094,,,,OK
TEST1,20220224170031346,TESTC-001,001,EMPTY,B000011,,,,NG
TEST1,20220224170031346,TESTC-001,002,EMPTY,B000005,,,,NG
ASE,20220223165047773,C-004,011,,B000029,,,,OK
ASE,20220224114516305,TESTC-001,001,,B000011,,,,OK
ASE,20220224114516305,TESTC-001,002,,B000005,,,,OK
ASE,20220224114516305,TESTC-001,003,,B000043,,,,OK
ASE,20220224114516305,TESTC-001,004,,B000055,,,,OK
ASE,20220224114516305,TESTC-001,005,,,,,,OK
ASE,20220224114516305,TESTC-001,006,,B000094,,,,OK
ASE,20220224114516305,TESTC-001,007,,B000049,,,,OK
ASE,20220224114516305,TESTC-001,008,,B000072,,,,OK
ASE,20220224114516305,TESTC-001,009,,B000035,,,,OK
ASE,20220224114516305,TESTC-001,010,,,,,,OK
ASE,20220224114516305,TESTC-001,011,,B000079,,,,OK
ASE,20220224114516305,TESTC-001,012,,B000047,,,,OK
ASE,20220224114516305,TESTC-001,013,,B000013,,,,OK
ASE,20220224114516305,TESTC-001,014,,B000031,,,,OK
ASE,20220224114516305,TESTC-001,015,,,,,,OK
ASE,20220224114516305,TESTC-001,016,,B000044,,,,OK
ASE,20220224114516305,TESTC-001,017,,B000037,,,,OK
ASE,20220224114516305,TESTC-001,018,,B000050,,,,OK
ASE,20220224114516305,TESTC-001,019,,B000006,,,,OK
ASE,20220224114516305,TESTC-001,020,,,,,,OK
ASE,20220224114516305,TESTC-001,021,,,,,,OK
ASE,20220224114516305,TESTC-001,022,,,,,,OK
ASE,20220224114516305,TESTC-001,023,,,,,,OK
ASE,20220224114516305,TESTC-001,024,,,,,,OK
ASE,20220224114516305,TESTC-001,025,,,,,,OK
ASE,20220224114516305,TESTC-001,026,,,,,,OK
ASE,20220224114516305,TESTC-001,027,,,,,,OK
ASE,20220224114516305,TESTC-001,028,,,,,,OK
ASE,20220224114516305,TESTC-001,029,,,,,,OK
ASE,20220224114516305,TESTC-001,030,,,,,,OK
ASE,20220224114516305,TESTC-001,031,,,,,,OK
ASE,20220224114516305,TESTC-001,032,,,,,,OK
ASE,20220224114516305,TESTC-001,033,,,,,,OK
ASE,20220224114516305,TESTC-001,034,,,,,,OK
ASE,20220224114516305,TESTC-001,035,,,,,,OK
ASE,20220224114516305,TESTC-001,036,,,,,,OK
ASE,20220224114516305,TESTC-001,037,,,,,,OK
ASE,20220224114516305,TESTC-001,038,,,,,,OK
ASE,20220224114516305,TESTC-001,039,,,,,,OK
ASE,20220224114516305,TESTC-001,040,,,,,,OK
ASE,20220224114516305,TESTC-001,041,,,,,,OK
ASE,20220224114516305,TESTC-001,042,,,,,,OK
ASE,20220224114516305,TESTC-001,043,,,,,,OK
ASE,20220224114516305,TESTC-001,044,,,,,,OK
ASE,20220224114516305,TESTC-001,045,,,,,,OK
ASE,20220224114516305,TESTC-001,046,,,,,,OK
ASE,20220224114516305,TESTC-001,047,,,,,,OK
ASE,20220224114516305,TESTC-001,048,,,,,,OK
ASE,20220224114516305,TESTC-001,049,,,,,,OK
ASE,20220224114516305,TESTC-001,050,,,,,,OK
ASE,20220224114516305,TESTC-001,051,,,,,,OK
ASE,20220224114516305,TESTC-001,052,,,,,,OK
ASE,20220224114516305,TESTC-001,053,,,,,,OK
ASE,20220224114516305,TESTC-001,054,,,,,,OK
ASE,20220224114516305,TESTC-001,055,,,,,,OK
ASE,20220224114516305,TESTC-001,056,,,,,,OK
ASE,20220224114516305,TESTC-001,057,,,,,,OK
ASE,20220224114516305,TESTC-001,058,,,,,,OK
ASE,20220224114516305,TESTC-001,059,,,,,,OK
ASE,20220224114516305,TESTC-001,060,,,,,,OK
ASE,20220224114516305,TESTC-001,061,,,,,,OK
ASE,20220224114516305,TESTC-001,062,,,,,,OK
ASE,20220224114516305,TESTC-001,063,,,,,,OK
ASE,20220224114516305,TESTC-001,064,,,,,,OK
ASE,20220224114516305,TESTC-001,065,,,,,,OK
ASE,20220224114516305,TESTC-001,066,,,,,,OK
ASE,20220224114516305,TESTC-001,067,,,,,,OK
ASE,20220224114516305,TESTC-001,068,,,,,,OK
ASE,20220224114516305,TESTC-001,069,,,,,,OK
ASE,20220224114516305,TESTC-001,070,,,,,,OK
ASE,20220224114516305,TESTC-001,071,,,,,,OK
ASE,20220224114516305,TESTC-001,072,,,,,,OK
ASE,20220224114516305,TESTC-001,073,,,,,,OK
ASE,20220224114516305,TESTC-001,074,,,,,,OK
ASE,20220224114516305,TESTC-001,075,,,,,,OK
ASE,20220224114516305,TESTC-001,076,,,,,,OK
ASE,20220224114516305,TESTC-001,077,,,,,,OK
ASE,20220224114516305,TESTC-001,078,,,,,,OK
ASE,20220224114516305,TESTC-001,079,,,,,,OK
ASE,20220224114516305,TESTC-001,080,,,,,,OK
ASE,20220224114516305,TESTC-001,081,,,,,,OK
ASE,20220224114516305,TESTC-001,082,,,,,,OK
ASE,20220224114516305,TESTC-001,083,,,,,,OK
ASE,20220224114516305,TESTC-001,084,,,,,,OK
ASE,20220224114516305,TESTC-001,085,,,,,,OK
ASE,20220224114516305,TESTC-001,086,,,,,,OK
ASE,20220224114516305,TESTC-001,087,,,,,,OK
ASE,20220224114516305,TESTC-001,088,,,,,,OK
ASE,20220224114516305,TESTC-001,089,,,,,,OK
ASE,20220224114516305,TESTC-001,090,,,,,,OK
