儲櫃 ID,最高溫度,最低溫度,平均溫度,最高濕度,最低濕度,平均濕度,Log創建時間,開啟次數,總開啟時間
TESTC-001,26.70,26.60,26.697535,58.20,56.20,56.832854,2022/02/15,0,0
C-002,27.20,27.10,27.120944,56.70,55.00,55.655236,2022/02/15,0,0
C-003,27.00,26.90,26.933880,57.60,56.10,56.622997,2022/02/15,0,0
C-004,26.50,26.40,26.416837,59.60,58.00,58.608624,2022/02/15,0,0
C-005,27.40,27.20,27.245379,56.60,55.20,55.730800,2022/02/15,0,0
C-006,27.00,26.90,26.902258,58.10,56.50,57.025667,2022/02/15,0,0
C-007,26.10,26.00,26.036344,60.30,58.50,59.103696,2022/02/15,0,0
C-008,25.90,25.90,25.900000,60.00,58.10,58.762833,2022/02/15,0,0
TESTC-001,26.70,26.60,26.654166,58.30,56.50,57.080694,2022/02/14,0,0
C-002,27.20,27.10,27.128611,57.20,55.30,55.911666,2022/02/14,0,0
C-003,27.00,26.80,26.891250,58.10,56.40,56.937638,2022/02/14,0,0
C-004,26.50,26.40,26.443333,60.10,58.30,58.818472,2022/02/14,0,0
C-005,27.20,27.10,27.191944,57.30,55.60,56.115138,2022/02/14,0,0
C-006,26.90,26.80,26.830972,58.50,56.80,57.372638,2022/02/14,0,0
C-007,26.10,26.00,26.004305,60.50,58.70,59.310694,2022/02/14,0,0
C-008,25.90,25.90,25.900000,60.00,58.30,58.885416,2022/02/14,0,0
TESTC-001,26.60,26.60,26.600000,57.40,56.40,56.874130,2022/02/13,0,0
C-002,27.10,27.10,27.100000,56.20,55.20,55.711543,2022/02/13,0,0
C-003,26.90,26.80,26.806119,57.30,56.20,56.712100,2022/02/13,0,0
C-004,26.40,26.40,26.400000,59.00,58.10,58.557579,2022/02/13,0,0
C-005,27.10,26.80,26.958553,57.00,55.60,56.375660,2022/02/13,0,0
C-006,26.80,26.80,26.800000,57.70,56.70,57.168567,2022/02/13,0,0
C-007,26.00,26.00,26.000000,59.60,58.60,59.044645,2022/02/13,0,0
C-008,25.90,25.90,25.900000,59.20,58.10,58.615855,2022/02/13,0,0
TESTC-001,26.70,26.60,26.652916,58.80,56.70,57.165833,2022/02/12,0,0
C-002,27.10,27.10,27.100000,57.70,55.50,56.024861,2022/02/12,0,0
C-003,26.90,26.80,26.833750,58.60,56.60,57.021805,2022/02/12,0,0
C-004,26.50,26.40,26.402083,60.50,58.40,58.849722,2022/02/12,0,0
C-005,26.90,26.80,26.808750,58.70,56.60,57.055694,2022/02/12,0,0
C-006,26.80,26.80,26.800000,59.00,57.00,57.480555,2022/02/12,0,0
C-007,26.00,26.00,26.000000,61.00,58.70,59.335833,2022/02/12,0,0
C-008,25.90,25.90,25.900000,60.60,58.40,58.963888,2022/02/12,0,0
TESTC-001,26.70,26.60,26.696250,59.00,56.60,57.300555,2022/02/11,0,0
C-002,27.20,27.10,27.127083,57.80,55.50,56.152500,2022/02/11,0,0
C-003,27.00,26.90,26.968750,58.70,56.40,57.046805,2022/02/11,0,0
C-004,26.50,26.40,26.433888,60.70,58.30,58.953194,2022/02/11,0,0
C-005,27.00,26.90,26.946527,58.70,56.30,56.972361,2022/02/11,0,0
C-006,27.00,26.70,26.769722,59.40,56.90,57.780694,2022/02/11,0,0
C-007,26.40,26.00,26.265555,60.80,58.00,58.906666,2022/02/11,0,0
C-008,25.90,25.70,25.845833,61.00,58.40,59.277777,2022/02/11,0,0
TESTC-001,26.80,26.40,26.665526,59.00,56.70,57.789473,2022/02/10,0,0
C-002,27.20,27.10,27.132894,58.00,55.60,56.539473,2022/02/10,0,0
C-003,27.10,27.00,27.001842,58.60,56.50,57.389473,2022/02/10,0,0
C-004,26.60,26.40,26.448684,60.50,58.40,59.312631,2022/02/10,0,0
C-005,27.10,26.90,26.975526,58.60,56.40,57.308684,2022/02/10,0,0
C-006,26.80,26.70,26.767894,59.70,57.40,58.293421,2022/02/10,0,0
C-007,26.40,26.30,26.397894,60.40,58.10,59.023947,2022/02/10,0,0
C-008,25.90,25.80,25.855000,61.10,58.80,59.704210,2022/02/10,0,0
TESTC-001,26.90,26.60,26.770319,61.70,58.60,60.338356,2022/02/09,0,0
C-002,27.30,27.20,27.231050,60.60,57.40,59.072602,2022/02/09,0,0
C-003,27.30,27.20,27.225570,60.90,57.80,59.453424,2022/02/09,0,0
C-004,26.90,26.70,26.806849,62.60,59.60,61.194520,2022/02/09,0,0
C-005,27.40,27.10,27.252511,60.90,57.70,59.357990,2022/02/09,0,0
C-006,27.10,23.40,26.972839,69.20,59.70,61.224691,2022/02/09,0,0
C-007,26.30,23.20,26.050609,69.90,60.90,62.945731,2022/02/09,0,0
C-008,25.90,23.80,25.750306,68.60,61.10,62.984662,2022/02/09,0,0
