Tag Name,AddrOffset,B/W,Length,StartBit,ValString,EventLog,OnTime,TrigerEdge,IstByPass,Hint,Description
CVPos1Exists,100,B,1,0,BIN,F,0,ONOFF,F,,0:NoBOX 1:HasBOX
CVPos1BoxID,101,W,10,0,ASCII,F,0,ONOFF,F,,
CVPos2Exists,10B,B,1,0,BIN,F,0,ONOFF,F,,0:NoBOX 1:HasBOX
CVPos2BoxID,10C,W,10,0,ASCII,F,0,ONOFF,F,,
CVPos3Exists,116,B,1,0,BIN,F,0,ONOFF,F,,0:NoBOX 1:HasBOX
CVPos3BoxID,117,W,10,0,ASCII,F,0,ONOFF,F,,
CVPos4Exists,121,B,1,0,BIN,F,0,ONOFF,F,,0:NoBOX 1:HasBOX
CVPos4BoxID,122,W,10,0,ASCII,F,0,ONOFF,F,,
CVPos5Exists,12C,B,1,0,BIN,F,0,ONOFF,F,,0:NoBOX 1:HasBOX
CVPos5BoxID,12D,W,10,0,ASCII,F,0,ONOFF,F,,
CVPos6Exists,137,B,1,0,BIN,F,0,ONOFF,F,,0:NoBOX 1:HasBOX
CVPos6BoxID,138,W,10,0,ASCII,F,0,ONOFF,F,,
PosExists,142,B,1,0,BIN,F,0,ONOFF,F,,0:NoBOX 1:HasBOX
PosBoxID,143,W,10,0,ASCII,F,0,ONOFF,F,,
