20220211-09:34:55:607  program start  Ver. 2022/01/19_01
20220211-09:34:58:513  DatabaseThread CycleTime : 578
20220211-09:34:59:023  DatabaseThread CycleTime : 516
20220211-09:34:59:527  DatabaseThread CycleTime : 500
20220211-09:35:00:023  DatabaseThread CycleTime : 500
20220211-09:35:00:524  DatabaseThread CycleTime : 500
20220211-09:35:01:025  DatabaseThread CycleTime : 500
20220211-09:35:01:524  DatabaseThread CycleTime : 500
20220211-09:35:02:024  DatabaseThread CycleTime : 500
20220211-09:35:02:538  DatabaseThread CycleTime : 515
20220211-09:35:03:039  DatabaseThread CycleTime : 500
20220211-09:35:03:540  DatabaseThread CycleTime : 500
20220211-09:35:04:039  DatabaseThread CycleTime : 500
20220211-09:35:04:540  DatabaseThread CycleTime : 500
20220211-09:35:05:040  DatabaseThread CycleTime : 500
20220211-09:35:05:539  DatabaseThread CycleTime : 500
20220211-09:35:06:040  DatabaseThread CycleTime : 500
20220211-09:35:06:079  txBathcnNo = , txESBID = 
20220211-09:35:06:539  DatabaseThread CycleTime : 500
20220211-09:35:07:038  DatabaseThread CycleTime : 500
20220211-09:35:07:540  DatabaseThread CycleTime : 500
20220211-09:35:08:039  DatabaseThread CycleTime : 500
20220211-09:35:08:539  DatabaseThread CycleTime : 500
20220211-09:35:09:040  DatabaseThread CycleTime : 500
20220211-09:35:09:540  DatabaseThread CycleTime : 500
20220211-09:35:10:039  DatabaseThread CycleTime : 500
20220211-09:35:10:540  DatabaseThread CycleTime : 500
20220211-09:35:11:039  DatabaseThread CycleTime : 500
20220211-09:35:11:539  DatabaseThread CycleTime : 500
20220211-09:35:12:039  DatabaseThread CycleTime : 500
20220211-09:35:12:540  DatabaseThread CycleTime : 500
20220211-09:35:13:038  DatabaseThread CycleTime : 500
20220211-09:35:13:241  txBathcnNo = , txESBID = 
20220211-09:35:13:540  DatabaseThread CycleTime : 500
20220211-09:35:14:040  DatabaseThread CycleTime : 500
20220211-09:35:14:538  DatabaseThread CycleTime : 500
20220211-09:35:15:039  DatabaseThread CycleTime : 500
20220211-09:35:15:540  DatabaseThread CycleTime : 500
20220211-09:35:16:038  DatabaseThread CycleTime : 500
20220211-09:35:16:539  DatabaseThread CycleTime : 500
20220211-09:35:17:039  DatabaseThread CycleTime : 500
20220211-09:35:17:539  DatabaseThread CycleTime : 500
20220211-09:35:18:039  DatabaseThread CycleTime : 500
20220211-09:35:18:540  DatabaseThread CycleTime : 500
20220211-09:35:19:038  DatabaseThread CycleTime : 500
20220211-09:35:19:260  txBathcnNo = , txESBID = 
20220211-09:35:19:540  DatabaseThread CycleTime : 500
20220211-09:35:20:039  DatabaseThread CycleTime : 500
20220211-09:35:20:539  DatabaseThread CycleTime : 500
20220211-09:35:21:040  DatabaseThread CycleTime : 500
20220211-09:35:21:539  DatabaseThread CycleTime : 500
20220211-09:35:22:039  DatabaseThread CycleTime : 500
20220211-09:35:22:540  DatabaseThread CycleTime : 500
20220211-09:35:23:039  DatabaseThread CycleTime : 500
20220211-09:35:23:538  DatabaseThread CycleTime : 500
20220211-09:35:24:039  DatabaseThread CycleTime : 500
20220211-09:35:24:539  DatabaseThread CycleTime : 500
20220211-09:35:25:039  DatabaseThread CycleTime : 500
20220211-09:35:25:540  DatabaseThread CycleTime : 500
20220211-09:35:26:039  DatabaseThread CycleTime : 500
20220211-09:35:26:538  DatabaseThread CycleTime : 500
20220211-09:35:27:040  DatabaseThread CycleTime : 500
20220211-09:35:27:539  DatabaseThread CycleTime : 500
20220211-09:35:28:039  DatabaseThread CycleTime : 500
20220211-09:35:28:540  DatabaseThread CycleTime : 500
20220211-09:35:29:039  DatabaseThread CycleTime : 500
20220211-09:35:29:184  txBathcnNo = , txESBID = 
20220211-09:35:29:538  DatabaseThread CycleTime : 500
20220211-09:35:30:040  DatabaseThread CycleTime : 500
20220211-09:35:30:539  DatabaseThread CycleTime : 500
20220211-09:35:31:038  DatabaseThread CycleTime : 500
20220211-09:35:31:539  DatabaseThread CycleTime : 500
20220211-09:35:32:039  DatabaseThread CycleTime : 500
20220211-09:35:32:538  DatabaseThread CycleTime : 500
20220211-09:35:33:039  DatabaseThread CycleTime : 500
