20220211-09:34:58:861  EQ Status:Stauts=3
20220211-09:34:58:884  EQ Status:HasWarning=1
20220211-09:34:58:890  EQ Status:HasAlarm=1
20220211-09:34:58:896  EQ Status:EquipmentLocalRemoteMode=1
20220211-09:34:58:901  Alarm Warning:AlarmWarning1_Unit=1
20220211-09:34:58:908  Alarm Warning:AlarmWarning1_Level=1
20220211-09:34:58:913  Alarm Warning:AlarmWarning1_Set=1
20220211-09:34:58:959  Alarm Warning:AlarmWarning1_Code=7993
20220211-09:34:58:967  Stock In Report:BoxID=B000063             
20220211-09:34:58:975  Stock Out Report:BoxID=B000026             
20220211-09:34:58:983  Lift Complete Report:Action=2
20220211-09:34:58:991  Lift Complete Report:BoxID=B000063             
20220211-09:36:39:537  EQ Status:HasWarning=0
20220211-09:36:39:542  EQ Status:HasAlarm=0
20220211-09:36:39:696  PLC Bit:AlarmWarningRpt=1
20220211-09:36:39:701  Alarm Warning:AlarmWarning1_Level=2
20220211-09:36:39:705  Alarm Warning:AlarmWarning1_Set=0
20220211-09:36:39:710  Alarm Warning:AlarmWarning1_Code=5649
20220211-09:36:39:715  Alarm Warning:AlarmWarning2_Unit=1
20220211-09:36:39:719  Alarm Warning:AlarmWarning2_Level=2
20220211-09:36:39:723  Alarm Warning:AlarmWarning2_Code=5873
20220211-09:36:39:727  Alarm Warning:AlarmWarning3_Unit=1
20220211-09:36:39:731  Alarm Warning:AlarmWarning3_Level=1
20220211-09:36:39:735  Alarm Warning:AlarmWarning3_Code=7993
20220211-09:36:39:787  PLC Bit:AlarmWarningRpt=0
20220211-09:36:46:827  EQ Status:Mode=1
20220211-09:36:46:831  EQ Status:Stauts=1
